0,1,2,3,4,5,6,7
,,,men age 15-49 years,3.0,3.7,5.6,per cent
,9.7,,Sexually active young women,,,,
,,,who have been tested for HIV,,,,
,,,and know the result,,,,
,,,women age 15-49 years,9.6,2.8,0.9,per cent
,,,men age 15-49 years,3.9,0.0,5.1,per cent
Sexual,9.10,,Young women who have,89.4,86.2,86.9,per cent
behaviour,,never had sex,,,,,
,,Young men who have never,77.8,79.9,74.7,per cent,
,,had sex,,,,,
,9.11,Sex before age 15 among,,,,,
,,young people,,,,,
,,women age 15-24 years,2.0,16.3,2.7,per cent,
,,men age 15-24 years,2.5,7.5,0.7,per cent,
,9.12,Age-mixing among sexual,,,,,
,,partners,,,,,
,,women age 15-24 years,21.2,22.0,14.1,percent,
,,men age 15-24 years,2.1,0.0,1.1,percent,
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Merauke,Jayawijaya,Biak Numfor,,,,,
,9.13,,Sex with multiple partners,,,,
,women age 15-49 years,0.6,1.2,0.7,per cent,,
,men age 15-49 years,3.5,13.9,5.7,per cent,,
9.14,Condom use during sex with,,,,,,
,multiple partners,,,,,,
,men age 15-49 years,(25.5),8.4,21.8,per cent,,
9.15,Sex with non-regular partners,,,,,,
,women age 15-24 years,8.9,8.3,20.7,per cent,,
,men age 15-24 years,49.8,38.6,58.2,per cent,,
Orphaned,9.17,,Children’s living arrangements,10.4,7.4,12.3,per cent
Children,9.18,Prevalence of children with,7.0,9.2,7.5,per cent,
,,one or both parents dead,,,,,
Male circumcision,9.21,,Male circumcision,63.0,11.8,24.6,per cent
ALCOHOL USE,,,,,,,
Alcohol use,TA.3,,Alcohol use,,,,
,,women age 15-49 years,1.2,2.5,2.9,per cent,
,,men age 15-49 years,20.9,12.9,24.8,per cent,
,TA.4,Use of alcohol before age 15,,,,,
,,women age 15-49 years,0.3,3.7,2.1,per cent,
,,men age 15-49 years,6.3,5.4,7.8,per cent,
