0,1,2,3
4.2 Water treatment,Percentage of household members in households using unimproved drinking water who use an appropriate treatment method,60.7,
4.3 MDG 7.9,Use of improved sanitation,Percentage of household members using improved sanitation facilities which are not shared,58.3
4.S3,Use of improved sanitation (based on country specific definition),Percentage of household members using improved sanitation based on country specific definition of improved sanitation facilities,27.3
4.4 Safe disposal of child’s,Percentage of children age 0-2 years whose last stools were disposed of safely,51.3,
faeces,,,
4.5 Place for handwashing,Percentage of households with a specific place for hand washing where water and soap or other cleansing agent are present,78.9,
4.6             Availability of soap or other cleansing agent,Percentage of households with soap or other cleansing agent,95.2,
REPRODUCTIVE HEALTH,,,
Contraception and unmet need,,,
MICS Indicator Indicator,Description,Value,
- Total fertility rate,Total fertility rate for women age 15-49 years,3.1,
5.1 MDG 5.4 Adolescent birth rate,Age-specific fertility rate for women age 15-19 years,40.4,
5.2 Early childbearing,Percentage of women age 20-24 years who had at least one live birth before age 18,2.5,
5.3 MDG 5.3 Contraceptive prevalence rate Percentage of women age 15-49 years currently married or in,54.6,,
union who are using (or whose partner is using) a (modern or traditional) contraceptive method,,,
5.4 MDG 5.6 Unmet need,Percentage of women age 15-49 years who are currently,16.0,
married or in union who are fecund and want to space their,,,
births or limit the number of children they have and who are,,,
not currently using contraception,,,
-                          Exposure to mass media on        Percentage of people age 15-49 years who exposure to mass family planning media on family planning in the past one months,,,
(a) Women 52.2,,,
(b) Men 45.4,,,
14.S5 Contraception side effect Percentage of women age 15-49 years currently married or 59.9,,,
counseling                                  in union who started using current contraception method in the last 5 years and received counseling about side effects or problems of contraception method used,,,
14.S6      Counseling on how to address    Percentage of women age 15-49 years currently married or contraception side effects in union who started using current contraception method in,42.9,,
the last 5 years and received counseling on how to address contraception side effects,,,
14.S7        Counseling on other contraception methods,Percentage of women age 15-49 years currently married or in union who started using current contraception method in the last 5 years and received counseling about other contraception methods,35.9,
Maternal and newborn health,,,
5.5a MDG 5.5 Antenatal care coverage,Percentage of women age 15-49 years with a live birth in the,,
5.5b MDG 5.5,last 2 years who were attended during their last pregnancy,,
,that led to a live birth,,
,(a) at least once by skilled health personnel,98.7,
,(b) at least four times by any provider,89.6,
,(c) at least six times by any provider,75.1,
5.6 Content of antenatal care,Percentage of women age 15-49 years with a live birth in the,94.7,
,last 2 years who had their blood pressure measured and gave,,
,urine and blood samples during the last pregnancy that led to,,
,a live birth,,
16.S5                 Content of antenatal care (based on country specific definition),"Percentage of women age 15-49 years with a live birth in the last 2 years who had their blood pressure and weight measured, gave urine and blood samples, had STIs and",65.5,
,"syphilis test, examined ultrasound and chest X-ray during the last pregnancy that led to a live birth",,
5.7 MDG 5.2 Skilled attendant at delivery,Percentage of women age 15-49 years with a live birth in the last 2 years who were attended by skilled health personnel during their most recent live birth,98.9,
5.8 Institutional deliveries,Percentage of women age 15-49 years with a live birth in the last 2 years whose most recent live birth was delivered in a health facility,98.4,
5.9 Caesarean section,Percentage of women age 15-49 years whose most recent live birth in the last 2 years was delivered by caesarean section,23.4,
Post-natal health checks,,,
5.10 Post-partum stay in health,Percentage of women age 15-49 years who stayed in the health facility for 12 hours or more after the delivery of their most recent live birth in the last 2 years,99.4,
facility,,,
5.11                       Post-natal health check for the newborn,"Percentage of last live births in the last 2 years who received  a health check while in facility or at home following delivery, or a post-natal care visit within 2 days after delivery",98.6,
5.12 Post-natal health check for,"Percentage of women age 15-49 years who received a health check while in facility or at home following delivery, or a post-natal care visit within 2 days after delivery of their most recent live birth in the last 2 years",95.4,
the mother,,,
INDUCED ABORTION,,,
MICS Indicator,Indicator,Description,Value
15.S5,Abortion ratio,Number of abortions per 1000 live birth,189.1
15.S6,General abortion rate,Number of abortions per 1000 women aged between 15-49,18.5
,,years,
15.S7,Total abortion rate,Total abortion rateA for women age 15-49 years,0.6
KNOWLEDGE AND SCREENING CERVICAL CANCER,,,
MICS Indicator Indicator,Description,Value,
16.S9 Have heard of cervical cancer,Percentage of women age 15-49 years who have heard about,83.0,
,cervical cancer,,
16.S10 Cervical cancer screening,Percentage of women age 15-49 years who have received cervical cancer screening,41.7,
CHILD DEVELOPMENT,,,
MICS Indicator Indicator,Description,Value,
6.1            Attendance to early childhood education,Percentage of children age 36-59 months who are attending an early childhood education programme,68.2,
6.2 Support for learning,Percentage of children age 36-59 months with whom an adult has engaged in four or more activities to promote learning and school readiness in the last 3 days,54.7,
6.3 Father’s support for learning,Percentage of children age 36-59 months whose biological father has engaged in four or more activities to promote learning and school readiness in the last 3 days,9.8,
6.4 Mother’s support for learning,Percentage of children age 36-59 months whose biological mother has engaged in four or more activities to promote learning and school readiness in the last 3 days,28.6,
6.5 Availability of children’s,Percentage of children under age 5 who have three or more children’s books,32.8,
books,,,
6.6 Availability of playthings,Percentage of children under age 5 who play with two or more types of playthings,55.8,
6.7 Inadequate care,Percentage of children under age 5 left alone or in the care of another child younger than 10 years of age for more than one hour at least once in the last week,10.2,
6.8                     Early child development index,"Percentage of children age 36-59 months who are developmentally on track in at least three of the following four domains: literacy-numeracy, physical, social-emotional, and learning",76.0,
8.S1                   Early child development index (based on country specific definition),"Percentage of children age 36-59 months who are developmentally on track in at least three of the following four domains: literacy-numeracy, physical, social-emotional, and learning(based on country specific definition)",93.1,
LITERACY AND EDUCATION,,,
MICS Indicator Indicator,Description,Value,
7.1 MDG 2.3,Literacy rate among young people,Percentage of young people age 15-24 years who are able to read a short simple statement about everyday life or who attended secondary or higher education,97.5
,,(a) women (b) men,95.2
7.2 School readiness,Percentage of children in first grade of primary school who attended pre-school during the previous school year,78.8,
7.3 Net intake rate in primary,Percentage of children of school-entry age who enter the first grade of primary school,94.5,
education,,,
7.4 MDG 2.1,Primary school net attendance ratio (adjusted),Percentage of children of primary school age currently attending primary or secondary school,98.1
7.5 Secondary school net,Percentage of children of secondary school age currently attending secondary school or higher,92.9,
attendance ratio (adjusted),,,
5.S1,Net attendance ratio for basic,Percentage of children of basic education age currently attending basic education or higher,98.1
,education (adjusted),,
7.6 MDG 2.2,Children reaching last grade of primary,Percentage of children entering the first grade of primary school who eventually reach last grade,98.1
7.7 Primary completion rate,Number of children attending the last grade of primary school,109.7,
(excluding repeaters) divided by number of children of,,,
primary school completion age (age appropriate to final grade,,,
of primary school),,,
7.8                 Transition rate to secondary school,Number of children attending the last grade of primary school during the previous school year who are in the first grade of secondary school during the current school year divided by number of children attending the last grade of primary school during the previous school year,98.4,
7.9  MDG 3.1  Gender parity index (primary   Primary school net attendance ratio (adjusted) for girls divided school) by primary school net attendance ratio (adjusted) for boys,1.01,,
7.10 MDG 3.1 Gender parity index,Secondary school net attendance ratio (adjusted) for girls divided by secondary school net attendance ratio (adjusted) for boys,1.02,
(secondary school),,,
CHILD PROTECTION,,,
Birth registration,,,
MICS Indicator Indicator,Description,Value,
8.1 Birth registration,Percentage of children under age 5 whose births are reported registered,99.3,
Child labour,,,
8.2 Child labour,Percentage of children age 5-17 years who are involved in,17.3,
,child labour,,
Child discipline,,,
8.3 Violent discipline,Percentage of children age 1-14 years who experienced psy- chological aggression or physical punishment during the last one month,49.3,
Early marriage and polygyny,,,
8.4 Marriage before age 15,Percentage of people age 15-49 years who were first married,,
or in union before age 15,,,
(a) Women,0.4,,
(b) Men,0.2,,
8.5 Marriage before age 18,Percentage of people age 20-49 years who were first married,,
or in union before age 18,,,
(a) Women,6.2,,
(b) Men,2.4,,
8.6 Young people age 15-19 years Percentage of young people age 15-19 years who are married,5.3,,
currently married or in union or in union,1.2,,
(a) Women (b) Men,,,
8.8a Spousal age difference,Percentage of young women who are married or in union and,,
8.8b,"whose spouse is 10 or more years older,",,
"(a) among women age 15-19 years,",3.4,,
(b) among women age 20-24 years,3.0,,
Children’s living arrangements,,,
8.13     Children’s living arrangements,Percentage of children age 0-17 years living with neither biological parent,6.4,
8.14                     Prevalence of children with one or both parents dead,Percentage of children age 0-17 years with one or both biological parents dead,6.7,
8.15                 Children with at least one parent living abroad,Percentage of children 0-17 years with at least one biological parent living abroad,1.5,
HIV/AIDS AND SEXUAL BEHAVIOUR,,,
HIV/AIDS knowledge and attitudes,,,
MICS Indicator Indicator,Description,Value,
- Have heard of AIDS,Percentage of people age 15-49 years who have heard of AIDS (a) Women,91.6,
,(b) Men,91.2,
9.1 MDG 6.3 Knowledge about HIV pre-,"Percentage of young people age 15-24 years who correctly identify ways of preventing the sexual transmission of HIV, and who reject major misconceptions about HIV transmission (a) Women",22.8,
vention among young people,(b) Men,20.7,
9.2         Knowledge of mother-to-child    Percentage of people age 15-49 years who correctly identify transmission of HIV all three means of mother-to-child transmission of HIV,33.5,,
(a) Women (b) Men,21.0,,
9.3                   Accepting attitudes towards people living with HIV,Percentage of people age 15-49 years expressing accepting attitudes on all four questions toward people living with HIV (a) Women,2.5,
,(b) Men,4.8,
HIV testing,,,
9.4                    People who know where to be tested for HIV,Percentage of people age 15-49 years who state knowledge of a place to be tested for HIV,75.8,
,(a) Women (b) Men,64.3,
9.5                         People who have been tested      Percentage of people age 15-49 years who have been tested for HIV and know the results for HIV in the last 12 months and who know their results,24.7,,
(a) Women (b) Men,15.3,,
"9.6                       Sexually active young people     Percentage of young people age 15-24 years who have had sex who have been tested for HIV in the last 12 months, who have been tested for HIV in the last and know the results 12 months and who know their results",36.0,,
(a) Women (b) Men,18.0,,
9.7 HIV counselling during,"Percentage of women age 15-49 years who had a live birth in the last 2 years and received antenatal care during the pregnancy of their most recent birth, reporting that they received counselling on HIV during antenatal care",32.1,
antenatal care,,,
9.8 HIV testing during antenatal,"Percentage of women age 15-49 years who had a live birth  in the last 2 years and received antenatal care during the pregnancy of their most recent birth, reporting that they were offered and accepted an HIV test during antenatal care and received their results",68.6,
care,,,
Sexual behaviour,,,
9.9                        Young people who have never had sex,Percentage of never married young people age 15-24 years who have never had sex,70.3,
,(a) Women (b) Men,43.0,
9.10                  Sex before age 15 among young people,Percentage of young people age 15-24 years who had sexual intercourse before age 15,0.6,
,(a) Women (b) Men,4.2,
9.11               Age-mixing among sexual partners,Percentage of women age 15-24 years who had sex in the last 12 months with a partner who was 10 or more years older,2.9,
9.12 Multiple sexual partnerships,Percentage of people age 15-49 years who had sexual,,
intercourse with more than one partner in the last 12 months,,,
(a) Women,1.5,,
(b) Men,10.0,,
9.13                 Condom use at last sex among    Percentage of people age 15-49 years who report having had people with multiple sexual more than one sexual partner in the last 12 months who also partnerships reported that a condom was used the last time they had sex,30.8,,
(a) Women (b) Men,44.7,,
9.14 Sex with non-regular partners Percentage of sexually active young people age 15-24 years,,,
"who had sex with a non-marital, non-cohabitating partner in",,,
the last 12 months,,,
(a) Women,19.0,,
(b) Men,45.2,,
9.15 MDG 6.2  Condom use with non-regular  Percentage of young people age 15-24 years reporting the use partners of a condom during the last sexual intercourse with a non-mar-,46.1,,
"ital, non-cohabiting sex partner in the last 12 months (a) Women",69.0,,
(b) Men,,,
17.S1,Have heard of STIs,Percentage of people age 15-49 years who have heard of STIs (a) Women,77.9
,,(b) Men,75.6
17.S2,People with suspected STIs,Percentage of people age 15-49 years reporting an STIs or,
symptoms of an STIs in the past 12 months,,,
(a) Women,11.4,,
(b) Men,2.8,,
17.S3,People who have been tested   Percentage of people age 15-49 years who have been tested for STIs for STIs in the last 12 months,45.1,
,(a) Women (b) Men,33.9,
17.S4,People who received treatment for STIs,Percentage of people age 15-49 years who have been tested for STIs in the last 12 months and received any treatment (a) Women,2.4
,,(b) Men,1.0
ACCESS TO MASS MEDIA AND ICT,,,
Access to mass media,,,
MICS Indicator Indicator,Description,Value,
10.1 Exposure to mass media,"Percentage of people age 15-49 years who, at least once a",,
,"week, read a newspaper or magazine, listen to the radio, and",,
,watch television,,
,(a) Women,9.5,
,(b) Men,13.1,
Use of information/communication technology,,,
10.2 Use of computers,Percentage of young people age 15-24 years who used a,,
,computer during the last 12 months,,
,(a) Women,80.1,
,(b) Men,79.0,
10.3 Use of internet,Percentage of young people age 15-24 years who used the,,
,internet during the last 12 months,,
,(a) Women,74.2,
,(b) Men,71.6,
TOBACCO AND ALCOHOL USE,,,
Tobacco use,,,
MICS Indicator Indicator,Description,Value,
12.1 Tobacco use,"Percentage of people age 15-49 years who smoked cigarettes,",,
,or used smoked or smokeless tobacco products at any time,,
,during the last one month,,
,(a) Women,7.8,
,(b) Men,56.1,
12.2 Smoking before age 15,Percentage of people age 15-49 years who smoked a whole,,
,cigarette before age 15,,
,(a) Women,0.8,
,(b) Men,17.2,
ALCOHOL USE,,,
12.3 Use of alcohol,Percentage of people age 15-49 years who had at least one,,
,alcoholic drink at any time during the last one month,,
,(a) Women,29.5,
,(b) Men,52.1,
12.4 Use of alcohol before age 15,Percentage of people age 15-49 years who had at least one,,
,alcoholic drink before age 15,,
,(a) Women,0.8,
,(b) Men,3.6,
