0,1,2,3,4,5,6,7,8,9,10
Prévalence de l’insuffisance pondérale,2.1a,"0,1657","0,0061","0,037","1,266","1,125",4625,4643,"0,153","0,178"
Retard de croissance,2.2a,"0,2974","0,0088","0,029","1,698","1,303",4613,4632,"0,280","0,315"
Prévalence de l’émaciation,2.3a,"0,0479","0,0035","0,074","1,280","1,131",4668,4680,"0,041","0,055"
Allaitement maternel exclusif de moins de 6 mois,"2,6","0,6241","0,0212","0,034","1,081","1,040",569,563,"0,582","0,667"
Agede l’allaitement,"2,14","0,6464","0,0133","0,021","1,510","1,229",1937,1955,"0,620","0,673"
Couverture vaccinale contre la tuberculose,-,"0,9083","0,0102","0,011","1,147","1,071",898,926,"0,888","0,929"
Couverture vaccinale contre la polio,-,"0,6624","0,0153","0,023","0,976","0,988",900,928,"0,632","0,693"
Couverture vaccinale contre la DTCoq,-,"0,7239","0,0154","0,021","1,077","1,038",886,914,"0,693","0,755"
Couverture vaccinale contre la rougeole,-,"0,6830","0,0164","0,024","1,141","1,068",887,915,"0,650","0,716"
Vaccination contre l’hépatite B,-,"0,1632","0,0142","0,087","1,338","1,157",883,906,"0,135","0,192"
Diarrhée au cours des 2 dernières semaines,-,"0,2068","0,0073","0,035","1,544","1,243",4746,4746,"0,192","0,221"
Infection respiratoire aiguë au cours des 2 dernières semaines,-,"0,0532","0,0043","0,081","1,758","1,326",4746,4746,"0,045","0,062"
Fièvre au cours des 2 dernières semaines,-,"0,3329","0,0091","0,027","1,767","1,329",4746,4746,"0,315","0,351"
Traitement RVO reçu ou poursuite de l’alimentation,"3,8","0,2357","0,0160","0,068","1,484","1,218",981,1039,"0,204","0,268"
Traitement antibiotique d’une pneumonie suspectée,"3,10","0,4080","0,0228","0,056","0,503","0,709",252,234,"0,362","0,454"
Enfants de moins de 5 ans dormant sous une MI,"3,15","0,5713","0,0110","0,019","2,345","1,531",4695,4705,"0,549","0,593"
Traitement anti-paludéen des enfants de moins de 5 ans dans les 24 heures,"3,18","0,2356","0,0119","0,051","1,318","1,148",1580,1667,"0,212","0,260"
Soutien pour l’apprentissage,"6,1","0,6189","0,0157","0,025","1,889","1,375",1821,1804,"0,587","0,650"
Participation à l’éducation de la petite enfance,"6,7","0,2875","0,0133","0,046","1,562","1,250",1821,1804,"0,261","0,314"
Enregistrement des naissances,"8,1","0,7794","0,0116","0,015","3,744","1,935",4746,4746,"0,756","0,803"
HOMMES,,,,,,,,,,
Taux d’alphabétisation chez les jeunes hommes,"7,1","0,7996","0,0138","0,0173","0,873","0,935",736,736,"0,772","0,827"
Mariage avant 18 ans,"8,7","0,0299","0,0057","0,1919","1,684","1,298",1500,1485,"0,018","0,041"
Polygamie,"8,9","0,1827","0,0131","0,0715","1,150","1,072",954,1006,"0,157","0,209"
Connaissance approfondie sur la prévention du VIH parmi les jeunes hommes,"9,2","0,4222","0,0208","0,0492","1,302","1,141",736,736,"0,381","0,464"
Connaissances sur la transmission mère-enfant du VIH,"9,3","0,5266","0,0171","0,0325","2,267","1,506",1925,1925,"0,492","0,561"
Attitudes envers les personnes vivant avec le VIH,"9,4","0,1987","0,0131","0,0660","2,053","1,433",1905,1901,"0,172","0,225"
Hommes ayant subi le test de dépistage du VIH et ayant reçu le résultat,"9,6","0,2362","0,0129","0,0548","1,788","1,337",1925,1925,"0,210","0,262"
Rapports sexuels avant l’âge de 15 chez les jeunes hommes,"9,11","0,0914","0,0130","0,1427","1,505","1,227",736,736,"0,065","0,117"
Utilisation du condom avec des partenaires non réguliers,"9,16","0,1474","0,0212","0,1438","0,905","0,951",280,254,"0,105","0,190"
