0,1,2,3
4.5 Lieu de lavage des mains,Pourcentage de ménages qui ont un lieu spécifique pour le lavage des mains dans lequel il y a de l’eau et du savon ou tout autre produit pour se laver,"49,1",
4.6                        Disponibilité de savon ou de tout autre produit pour se laver,Pourcentage de ménages qui ont du savon ou tout autre produit pour se laver,"83,6",
4.S1xi,Qualité de l'eau de boisson des ménages,Proportion de membres des ménages avec E. coli dans l'eau de boisson des ménages,"77,7"
4.S2xii,Qualité à la source de l'eau potable,Proportion de membres des ménages avec E. coli dans l'eau de boisson testée à la source,"48,1"
Contraception et besoins non satisfaits,,,
Indicateur MICS,Indicateur,Description,Valeur
Indice Synthétique de Fécondité (ISF),Indice Synthétique de Fécondité A des femmes de 15-49 ans,"4,4",
5.1 OMD 5.4,Taux de fécondité des adolescentes,Taux de fécondité par âge spécifique A des femmes de 15- 19 ans,111
5.2 Fécondité précoce,Pourcentage de femmes de 20-24 ans qui ont eu au moins,"26,0",
,une naissance vivante avant l’âge de 18 ans,,
5.3 OMD 5.3,Taux de prévalence de la contraception,Pourcentage de femmes de 15-49 ans actuellement mariées ou en union qui utilisent (ou dont le partenaire utilise) une méthode de contraception (traditionnelle ou moderne),"30,1"
5.4 OMD 5.6,Besoins non-satisfaits,Pourcentage de femmes de 15-49 ans actuellement mariées ou en union qui sont fécondes et veulent espacer leurs naissances ou limiter le nombre d’enfants et qui n’utilisent pas actuellement une méthode de contraception,"17,9"
"A Le taux de fécondité par âge spécifique est défini comme le nombre de naissances vivantes des femmes d’un groupe d’âges spécifique durant une période spécifique, divisé par le nombre moyen de femmes dans ce groupe d’âges durant la même période, exprimé pour 1000 femmes. Le taux de fécondité par âge spécifique des femmes de 15-19 ans est aussi appelé taux de fécondité des adolescentes.",,,
"L’Indice Synthétique de Fécondité (ISF) est calculé en sommant les taux de fécondité par âge spécifique de chaque groupe d’âges quinquennal de femmes, de 15 à 49 ans. L’ISF donne le nombre moyen d’enfants auxquels une femme aura donné naissance à la fin de sa vie féconde (avant 50 ans) si les conditions actuelles de fécondité demeurent les mêmes.",,,
