0,1,2,3,4,5,6,7
,men age 15-49 years 31.9,26.8,28.5,Percent,,,
9.4,Accepting attitude towards people living with HIV,,,,,,
,women age 15-49 years 0.7,4.5,3.3,Percent,,,
,men age 15-49 years 1.4,7.8,5.8,Percent,,,
9.5,Knowledge a place for HIV testing,,,,,,
,women 30.3,48.0,42.1,Percent,,,
,men 54.5,61.7,59.3,Percent,,,
9.6,Have been tested in the last 12 months and have been told result,,,,,,
,women 0.2,3.5,2.4,Percent,,,
,men 0.2,7.8,5.3,Percent,,,
9.8,,"HIV counselling during 7.9
antenatal care",9.3,8.9,Percent,,
9.9,,"HIV testing during antenatal 0.3
care",3.5,2.6,Percent,,
Access to mass media use of information/communication technology,,,,,,,
Access to mass media,MT.1,Exposure to mass media,,,,,
,women 15-49 years 50.3,46.7,47.9,Percent,,,
,men 15-49 years 74.8,64.7,68.0,Percent,,,
Use of Information / communication technology,MT.2,Use of computers,,,,,
,women 15-24 years 93.0,89.3,91.0,Percent,,,
,men 15-24 years 96.6,93.6,95.2,Percent,,,
MT.3,Use of internet,,,,,,
,women 15-24 years 91.8,89.5,90.6,Percent,,,
,men 15-24 years 97.4,94.5,96.0,Percent,,,
Tobacco use,,,,,,,
Tobacco use,TA.1,Tobacco use,,,,,
,women 15-49 years 0.5,3.2,2.3,Percent,,,
,men 15-49 years 16.5,17.4,17.1,Percent,,,
TA.2,Smoking before age 15 years,,,,,,
,Women 0.1,0.4,0.3,Percent,,,
,Men 2.3,2.9,2.7,Percent,,,
SUBJECTIVE WELL-BEING,,,,,,,
Subjective well-being,SW.1,Life satisfaction,,,,,
,Women 15-49 years 88.8,83.2,85.1,Percent,,,
,Men 15-49 years 90.4,78.3,82.2,Percent,,,
