0,1,2,3,4,5,6,7
Care-seeking for diarrhoea (56.4),(59.6),percent,7.2,School readiness,45.8,23.8,percent
Diarrhoea treatment with oral rehydration,(24.3),percent,7.3,Net intake rate in primary education,90.8,51.8,percent
salts (ORS) and zinc2 (31.9),,,,,,,
Diarrhoea treatment with oral rehydration,,,,ISCED classification3,,,
therapy (ORT) and continued feeding,(62.7) (66.9) percent 7.4,2.1,Primary school net attendance ratio (adjusted),97.9,64.5,percent,
,3.20,,symptoms,74.0,53.7,percent,
,,,Care-seeking for fever,,,,
Solid fuel use,3.15,,Use of solid fuels for cooking,44.8,79.9,percent,
WATER AND SANITATION,,,,,,,
Water and sanitation,4.1,7.8,Use of improved drinking water sources,99.4,98.9,percent,
,4.2,,Water treatment,4.5,(0.0),percent,
,4.3,7.9,Use of improved sanitation,95.7,80.8,percent,
,4.4,,Safe disposal of child's faeces,21.3,9.7,percent,
,4.5,,Place for handwashing,nd,65.0,percent,
,4.6,,Availability of soap or other cleansing agent,nd,83.0,percent,
REPRODUCTIVE HEALTH,,,,,,,
Contraception and unmet need,5.1,5.4,Adolescent birth rate,12,†,"per 1,000",
,5.2,,Early childbearing,2.7,36.9,percent,
,5.3,5.3,Contraceptive prevalence rate,23.3,4.1,percent,
,5.4,5.6,Unmet need,21.8,47.6,percent,
Maternal and newborn health,,,Antenatal care coverage,,,,
,5.5a,5.5,At least once by skilled personnel,91.7,85.7,percent,
,5.5b,,At least four times by any provider,86.6,63.5,percent,
,3.20,,symptoms,74.0,53.7,percent,
,,,Care-seeking for fever,,,,
Solid fuel use,3.15,,Use of solid fuels for cooking,44.8,79.9,percent,
WATER AND SANITATION,,,,,,,
Water and sanitation,4.1,7.8,Use of improved drinking water sources,99.4,98.9,percent,
,4.2,,Water treatment,4.5,(0.0),percent,
,4.3,7.9,Use of improved sanitation,95.7,80.8,percent,
,4.4,,Safe disposal of child's faeces,21.3,9.7,percent,
,4.5,,Place for handwashing,nd,65.0,percent,
,4.6,,Availability of soap or other cleansing agent,nd,83.0,percent,
REPRODUCTIVE HEALTH,,,,,,,
Contraception and unmet need,5.1,5.4,Adolescent birth rate,12,†,"per 1,000",
,5.2,,Early childbearing,2.7,36.9,percent,
,5.3,5.3,Contraceptive prevalence rate,23.3,4.1,percent,
,5.4,5.6,Unmet need,21.8,47.6,percent,
Maternal and newborn health,,,Antenatal care coverage,,,,
,5.5a,5.5,At least once by skilled personnel,91.7,85.7,percent,
,5.5b,,At least four times by any provider,86.6,63.5,percent,
,grade),,,,,,
7.7,Primary completion rate,111.5,85.2,percent,,,
7.8,Transition rate to secondary school,98.1,94.9,percent,,,
7.9,Gender parity index (primary school),1.00,1.09,ratio,,,
7.10,Gender parity index (secondary school),1.01,0.55,ratio,,,
,National education system classification4,,,,,,
7.4n,Primary school net attendance ratio (adjusted),98.2,57.8,percent,,,
,grade),,,,,,
7.7,Primary completion rate,111.5,85.2,percent,,,
7.8,Transition rate to secondary school,98.1,94.9,percent,,,
7.9,Gender parity index (primary school),1.00,1.09,ratio,,,
7.10,Gender parity index (secondary school),1.01,0.55,ratio,,,
,National education system classification4,,,,,,
7.4n,Primary school net attendance ratio (adjusted),98.2,57.8,percent,,,
,,grade),,,,,
7.7n,Primary completion rate,98.7,29.3,percent,,,
7.8n,Transition rate to secondary school,100.0,*,percent,,,
7.9n,Gender parity index (primary school),1.00,0.95,ratio,,,
7.10n,Gender parity index (secondary school),1.01,0.60,ratio,,,
CHILD PROTECTION,,,,,,,
Birth registration,8.1,Birth registration,99.4,94.5,percent,,
Child labour,8.2,Child labour,12.5,6.7,percent,,
Child discipline,8.3,Violent discipline,69.3,64.2,percent,,
Early marriage,8.4,Marriage before age 15,,,,,
,,grade),,,,,
7.7n,Primary completion rate,98.7,29.3,percent,,,
7.8n,Transition rate to secondary school,100.0,*,percent,,,
7.9n,Gender parity index (primary school),1.00,0.95,ratio,,,
7.10n,Gender parity index (secondary school),1.01,0.60,ratio,,,
CHILD PROTECTION,,,,,,,
Birth registration,8.1,Birth registration,99.4,94.5,percent,,
Child labour,8.2,Child labour,12.5,6.7,percent,,
Child discipline,8.3,Violent discipline,69.3,64.2,percent,,
Early marriage,8.4,Marriage before age 15,,,,,
,5.6,,Content of antenatal care,89.3,77.1,percent,
5.7,5.2,Skilled attendant at delivery,99.0,98.6,percent,,
5.8,,Institutional deliveries,99.0,98.6,percent,,
5.9,,Caesarean section,19.9,18.8,percent,,
Postnatal health checks,5.10,,Postpartum stay in health facility,99.5,99.4,percent,
,5.11,,Postnatal health check for the newborn,98.7,96.9,percent,
,5.12,,Postnatal health check for the mother,94.8,79.1,percent,
Child development,6.1,,Attendance to early childhood education,39.9,18.5,percent,
,6.2,,Support for learning,97.7,59.0,percent,
,6.3,,Father's support for learning,45.1,15.3,percent,
,6.4,,Mother’s support for learning,91.2,21.9,percent,
,6.5,,Availability of children’s books,72.7,19.1,percent,
,6.6,,Availability of playthings,59.7,60.6,percent,
,6.7,,Inadequate care,2.6,4.1,percent,
,6.8,,Early child development index,94.3,62.5,percent,
,5.6,,Content of antenatal care,89.3,77.1,percent,
5.7,5.2,Skilled attendant at delivery,99.0,98.6,percent,,
5.8,,Institutional deliveries,99.0,98.6,percent,,
5.9,,Caesarean section,19.9,18.8,percent,,
Postnatal health checks,5.10,,Postpartum stay in health facility,99.5,99.4,percent,
,5.11,,Postnatal health check for the newborn,98.7,96.9,percent,
,5.12,,Postnatal health check for the mother,94.8,79.1,percent,
Child development,6.1,,Attendance to early childhood education,39.9,18.5,percent,
,6.2,,Support for learning,97.7,59.0,percent,
,6.3,,Father's support for learning,45.1,15.3,percent,
,6.4,,Mother’s support for learning,91.2,21.9,percent,
,6.5,,Availability of children’s books,72.7,19.1,percent,
,6.6,,Availability of playthings,59.7,60.6,percent,
,6.7,,Inadequate care,2.6,4.1,percent,
,6.8,,Early child development index,94.3,62.5,percent,
