id,name,value
5.6,Content of antenatal care,97.2
5.7,Skilled attendant at delivery,96.8
5.8,Institutional deliveries,96.4
5.9,Caesarean section,34.2
5.10,Post-partum stay in health facility,94.3
5.11,Post-natal health check for the newborn,96.4
5.12,Post-natal health check for the mother,96.4
6.1,Attendance to early childhood education,54.8
6.2,Support for learning,87.6
6.3,Father’s support for learning,23.5
6.4,Mother’s support for learning,67.6
6.5,Availability of children’s books,44.1
6.6,Availability of playthings,67.8
6.7,Inadequate care,12.9
6.8,Early child development index,82.5
(a) women,,93.0
(b) men,,91.2
7.2,School readiness,63.3
7.3,Net intake rate in primary education,87.7
7.4,Primary school net attendance ratio (adjusted)  ISCED,95.8
7.S1,Primary school net attendance ratio (adjusted)  National,96.3
7.5,Secondary school net attendance ratio (adjusted)  ISCED,73.1
7.S2,Secondary school net attendance ratio (adjusted)  National,60.0
7.6,Children reaching last grade of primary  ISCED,97.5
7.S3,Children reaching last grade of primaryNational,93.5
7.7,Primary completion rate  ISCED,96.9
7.S4,Primary completion rate  National,86.3
7.8,Transition rate to secondary school  ISCED,94.1
7.S5,Transition rate to secondary  school  National,77.6
7.9,Gender parity index (primary school)  ISCED,1.00
7.S6,Gender parity index (primary  school)  National,1.01
7.10,Gender parity index (secondary school)  ISCED,1.03
7.S7,Gender parity index (secondary  school)  National,1.09
65,,62
86,89,76.0
52,58,63.0
8.1,Birth registration,95.7
8.3,Violent discipline,65.1
8.4,Marriage before age 15,5.5
8.4,Marriage before age 15,4.1
8.5,Marriage before age 18,29.0
8.5,Marriage before age 18,16.3
8.6,Young people age 15-19 years currently married or in union,20.8
8.6,Young people age 15-19 years currently married or in union,10.7
8.8a,Spousal age difference,8.5
8.8b,Spousal age difference,16.0
8.12,Attitudes towards domestic violence,5.2
8.12,Attitudes towards domestic violence,5.4
8.13,Children’s living arrangements,7.3
8.14,Prevalence of children with one or both parents dead,5.9
8.15,Children with at least one parent living abroad,3.7
-,Have heard of AIDS,91.2
-,Have heard of AIDS,92.5
9.1,Knowledge about HIV prevention among young people,45.8
9.1,Knowledge about HIV prevention among young people,46.5
9.2,Knowledge of mother-to-child transmission of HIV,55.9
9.2,Knowledge of mother-to-child transmission of HIV,53.4
9.3,Accepting attitudes towards people living with HIV,16.7
9.3,Accepting attitudes towards people living with HIV,18.7
9.4,People who know where to be tested for HIV,83.8
9.4,People who know where to be tested for HIV,79.3
9.5,People who have been tested for HIV and know the results,25.4
9.5,People who have been tested for HIV and know the results,21.8
9.6,Sexually active young people who have been tested for HIV and know the results,36.7
9.6,Sexually active young people who have been tested for HIV and know the results,25.4
9.7,HIV counselling during antenatal care,56.5
9.8,HIV testing during antenatal care,73.9
9.9,Young people who have never had sex,72.6
9.9,Young people who have never had sex,58.6
9.10,Sex before age 15 among young people,5.8
9.10,Sex before age 15 among young people,14.9
9.11,Age-mixing among sexual partners,13.8
9.12,Multiple sexual partnerships,1.9
9.12,Multiple sexual partnerships,9.0
9.13,Condom use at last sex among people with multiple sexual partnerships,49.7
9.13,Condom use at last sex among people with multiple sexual partnerships,58.8
9.14,Sex with non-regular partners,20.7
9.14,Sex with non-regular partners,37.4
9.15,Condom use with non-regular partners,55.9
9.15,Condom use with non-regular partners,67.1
10.1,Exposure to mass media,26.2
10.1,Exposure to mass media,28.4
10.2,Use of computers,64.3
10.2,Use of computers,68.7
10.3,Use of internet,72.2
10.3,Use of internet,77.2
11.1,Life satisfaction,96.3
11.1,Life satisfaction,95.0
11.2,Happiness,94.2
11.2,Happiness,94.1
11.3,Perception of a better life,75.3
11.3,Perception of a better life,71.7
12.1,Tobacco use,2.1
12.1,Tobacco use,16.4
12.2,Smoking before age 15,1.4
12.2,Smoking before age 15,11.8
