0,1,2,3,4,5,6
Contraception and unmet need,21,19c,Contraceptive prevalence,16.6,percent,
Maternal and,20,,Antenatal care,92.1,percent,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
newborn health,44,,Content of antenatal care,,,
,,,Blood test taken,78.3,percent,
,,,Blood pressure measured,91.9,percent,
,,,Urine specimen taken,80,percent,
,,, Weight measured,90.9,percent,
,4,17,Skilled attendant at delivery,49.7,percent,
,5,,Institutional deliveries,48.7,percent,
CHILD DEVELOPMENT,,,,,,
Child,46,,Support for learning,39.3,percent,
development,47,,Father's support for learning,46.9,percent,
,48,,Support for learning: children’s books,12.7,percent,
,49,,Support for learning: non-children’s books,40,percent,
,50,,Support for learning: materials for play,28.1,percent,
,51,,Non-adult care,24.8,percent,
Topic,MICS,MDG,Indicator,,Value,
,Indicator Number,Indicator Number,,,,
EDUCATION,,,,,,
Education,52,,Pre-school attendance,51.6,percent,
,,,,,,
,,,,,,
,,,,,,
,53,,School readiness,86.7,percent,
,54,,Net intake rate in primary education,43.3,percent,
,55,6,Net primary school attendance rate,75.3,percent,
,56,,Net secondary school attendance rate,45.1,percent,
,57,7,Children reaching grade five,90.1,percent,
,58,,Transition rate to secondary school,97.5,percent,
,59,7b,Primary completion rate,24.2,percent,
,61,9,Gender parity index,,,
,,,primary school,1,ratio,
,,,secondary school,0.99,ratio,
Literacy,60,8,Adult literacy rate (youth),,,
,,,women,67.9,percent,
,,,men,75.4,percent,
CHILD PROTECTION,,,,,,
Birth registration,62,,Birth registration,51.4,percent,
Child labour,71,,Child labour,33.9,percent,
,72,,Labourer students,78.9,percent,
,73,,Student labourers,32.2,percent,
Child discipline,74,,Child discipline,,,
,,,Any psychological/physical punishment,89.2,percent,
Early,67,,Marriage before age 15,4.4,percent,
,,, Marriage before age 18,25.9,percent,
,,,,,,
,,,,,,
marriage and polygyny,,,,,,
,68,,Young women aged 15-19 currently married/in union,8.1,percent,
,70,, Polygyny,21.6,percent,
,69,,Spousal age difference ,,,
,,,women aged 15-19,12.8,percent,
,,,women aged 20-24,16.8,percent,
Female,66,,Approval for FGM/C,2.3,percent,
genital,63,,Prevalence of female genital mutilation/cutting,3.8,percent,
mutilation/,,,(FGM/C),,,
cutting,,,,,,
Domestic,,,,,,
,100,,Attitudes towards domestic violence ,,,
violence,,,wonem,46.7,percent,
,,,men,36.6,percent,
Disability,101,,Child disability,16.4,percent,
Topic,MICS,MDG,Indicator,Value,,
,Indicator Number,Indicator Number,,,,
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANED AND VULNERABLE CHILDREN",,,,,,
HIV/AIDS,82,19b,Comprehensive knowledge about HIV prevention among young people,,,
,,,women 15-24,25.1,percent,
,,,men 15-24,33,percent,
knowledge,89,,Knowledge of mother- to-child transmission of HIV,,,
and attitudes,,,women,69.4,percent,
,,,men,67.2,percent,
,86,,Attitude towards people with HIV/AIDS,,,
,,,women,7.6,percent,
,,,men,10.7,percent,
,87,,People who know where to be tested for HIV,,,
,,,women,48.3,percent,
,,,men,58.2,percent,
,88,,People who have been tested for HIV,,,
,,,women,13.6,percent,
,,,men,8.8,percent,
,90,,Counselling coverage for the prevention of mother-to- child transmission of HIV,45.5,percent,
,91,,Testing coverage for the prevention of mother-to- child transmission of HIV,10.3,percent,
Sexual,84,,Sex before age 15 women,,,
behaviour,,,women,6.5,percent,
,,,men,4.8,percent,
,92,,Age-mixing among sexual partners,12.1,percent,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,83,19a, Condom use with non-regular partners,,,
,,,women,41.6,percent,
,,,men,55.7,percent,
,85,,Higher risk sex in the last year,,,
,,,women,51.5,percent,
,,,men,87.9,percent,
Support to,75,,Prevalence of orphans,7.7,percent,
orphaned and vulnerable children,78,20,Children’s living arrangements,14.3,percent,
,77,,School attendance of orphans versus non-orphans,1.02, ratio,
