0,1,2,3,4,5,6,7
Santé maternelle et néonatale,20,,Soins prénatals,Nombre de femmes de 15-49 ans assistées par un personnel sanitaire qualifié au moins une fois en cours de grossesse au cours des 2 années précédant l’enquête,"92,4",%,
,44,,Contenu des soins prénatals,"Nombre de femmes ayant eu un enfant vivant au cours des 2 années  précédant l’enquête, qui a reçu des soins prénatals en cours de grossesse","96,3",%,
,4,17,Assistance par un personnel qualifié,"Nombre de femmes de 15-49 ans ayant accouché au cours des 2 années précédant l’enquête, assistées par un personnel sanitaire qualifié lors de l’accouchement","33,6",%,
,5,,Accouchements dans un établissement spécialisé,Nombre de femmes de 15-49 ans ayant accouché dans une formation sanitaire au cours des 2 années précédant l’enquête,"28,5",%,
Mortalité maternelle,3,16,Taux de mortalité maternelle,Nombre de décès chez les femmes liés à la grossesse dans une année spécifique,615,pour 100 000,
DEVELOPPEMENT DE L’ENFANT,,,,,,,
Développement de l’enfant,46,,Soutien pour les études,Nombre d’enfants de 0-59 mois vivant dans des ménages où un adulte a  mené au cours des 3 derniers jours quatre activités (voire plus) de promotion de l’apprentissage et de la prédisposition aux études,"13,8",%,
,47,,Soutien paternel pour les études,Nombre d’enfants de 0-59 mois dont le père a mené au cours des 3 derniers jours une ou plusieurs activités de promotion de l’apprentissage et de la prédisposition aux études,"7,9",%,
EDUCATION,,,,,,,
Éducation,52,,Fréquentation du préscolaire,Nombre d’enfants de 36-59 mois fréquentant un type de programme d’éducation de base,"4,7",%,
,53,,Prédisposition pour la scolarisation,Nombre d’enfants en première  année du cycle primaire ayant fréquenté un type  d’établissement  préscolaire l’année dernière,"1,7",%,
,54,,Taux d’entrée net au cycle primaire,Nombre d’enfants ayant l’âge d’aller à l’école qui sont actuellement en première année,"50,7",%,
,55,6,Taux de fréquentation net du cycle primaire,Nombre d’enfants ayant l’âge d’entrer au cycle primaire qui fréquentent actuellement une école primaire ou secondaire,"70,8",%,
,56,,Taux de fréquentation net du cycle secondaire,Nombre d’enfants ayant l’âge d’entrer au cycle secondaire qui fréquentent actuellement une école secondaire ou un établissement supérieur,"7,2",%,
,57,7,Enfants atteignant 5ème année Primaire,Proportion d’enfants entrés en première année du cycle primaire parvenus au CM2,"86,5",%,
Rubrique,Numéro d’indicateur MICS,Numéro d’indicateur OMD,Contexte de l’Indicateur,Définition de l’Indicateur,Valeur,Unité,
,58,,Taux de passage au cycle secondaire,Nombre d’enfants en dernière  année du cycle primaire lors de l’année scolaire écoulée passés au cycle secondaire,"13,6",%,
,59,7b,Taux net d’achèvement des études primaires,Nombre d’enfants (tous âges confondus) en dernière année du cycle primaire (hormis les redoublants),"3,5",%,
,61,9,Indice de parité des sexes,Proportion de filles dans les cycles primaire et secondaire,,,
,,,école primaire,,"0,96",ratio,
,,,école secondaire,,"0,78",ratio,
Alphabétisation,60,8,Taux d’alphabétisation chez les adultes,Nombre de femmes de 15-24 ans capables de lire une courte phrase simple sur la vie quotidienne,"53,1",%,
PROTECTION DE L’ENFANT,,,,,,,
Enregistrement des naissances,62,,Enregistrement des naissances,Nombre d’enfants de 0-59 mois dont la naissance a été enregistrée,"60,2",%,
Travail des enfants,71,,Travail des enfants,Nombre d’enfants de 5-14 ans impliqués dans le travail des enfants,"19,0",%,
,72,,Élèves Travailleurs,Nombre d’enfants de 5-14 ans qui fréquentent l’école et qui sont impliqués dans le travail.,"54,5",%,
,73,,Travailleurs élèves,Nombre d’enfants de 5-14 ans qui travaillent et qui sont impliqués dans l’enseignement.,"16,8",%,
Mariage précoce et polygamie,67,,Mariage avant 15 ans Mariage avant 18 ans,Nombre de femmes mariées ou entrées en union,"2,8",%,
,,,,"avant d’avoir eu exactement 15 ansavant 18 ans, par groupes d’âges","20,4",%,
,68,,Jeunes femmes de 15-19 ans mariées / en union,Nombre de femmes de 15-19 ans mariées ou en union,"9,6",%,
,70,,Polygamie,Nombre de femmes en situation de polygamie,"8,3",%,
,69,,Différence d’âges des conjoints,Nombre de femmes mariées ou en union ayant une différence d’âge de 10 ans ou plus avec leur époux actuel,,,
,,,âgées de 15-19 ans,,"14,9",%,
,,,âgées de 20-24 ans,,"14,3",%,
"VIH/SIDA, COMPORTEMENT SEXUEL, ENFANTS ORPHELINS ET VULNÉRABLES",,,,,,,
Connaissances et comportements face au VIH/SIDA,82,19b,Connaissances générales sur la prévention du VIH chez les jeunes,Nombre de femmes de 15-49 ans qui ont su identifier correctement deux méthodes de prévention de l’infection à VIH et qui ont rejeté trois idées fausses courantes sur la transmission du virus,"27,2",%,
,89,,Connaissances sur la transmission mère-enfant du VIH,Nombre de femmes de 15-49 ans ayant correctement identifié les trois  modes de transmission verticale,"63,7",%,
,86,,Attitude face aux porteurs du VIH/SIDA,Nombre de femmes de 15-49 ans exprimant une réponse favorable pour les quatre questions relatives aux porteurs du VIH ou aux malades  du sida,"25,8",%,
,87,,Femmes connaissant les centres de dépistage du VIH,Nombre de femmes de 15-49 ans déclarant connaître un centre de dépistage du VIH,"57,9",%,
Rubrique,Numéro d’indicateur MICS,Numéro d’indicateur OMD,Contexte de l’Indicateur,Définition de l’Indicateur,Valeur,Unité,
,88,,Femmes ayant subi le test de dépistage du VIH,Nombre de femmes de 15-49 ans déclarant avoir subi le test  de  dépistage du VIH,"9,4",%,
,90,,Prise en charge psychologique pour la prévention de la transmission mère-enfant du VIH,"Nombre de femmes de 15-49 ans  ayant accouché au cours des 24 derniers mois et reçu des consultations prénatales, qui  déclarent  avoir bénéficié de conseils sur le VIH/SIDA lors de ces consultations","34,9",%,
,91,,Dépistage pour la prévention de la transmission mère-enfant du VIH,"Nombre de femmes de 15-49 ans  ayant accouché au cours des 24 derniers mois et reçu des consultations prénatales, qui déclarent avoir reçu les résultats de leur test dépistage du VIH lors de ces consultations","7,0",%,
Comportement sexuel,84,,Âge lors du premier rapport sexuel chez les jeunes,Nombre de femmes de 15-24 ans  ayant eu des rapports sexuels avant l’âge de 15 ans,"3,3",%,
,92,,Diversité d’âges des partenaires sexuels,Nombre de femmes de 15-24 ans  ayant eu des rapports sexuels au cours des 12 derniers mois avec un  partenaire de 10 ans ou plus.,"13,2",%,
,83,19a,Utilisation de préservatifs avec les partenaires occasionnels,Nombre de femmes de 15-24 ans déclarant avoir utilisé un préservatif  lors de rapports  sexuels extraconjugaux avec un partenaire occasionnel au cours des 12 derniers mois,"25,3",%,
,85,,Rapport sexuel à haut risque au cours de l’année écoulée,Nombre de femmes sexuellement actives âgées de 15-24 ans interrogées ayant eu des rapports sexuels avec un partenaire extraconjugal  occasionnel au cours des 12 derniers mois,"11,1",%,
Soutien aux enfants orphelins et vulnérables,75,,Prévalence d’orphelins,Nombre d’enfants de moins de 18 ans dont au moins l’un des parents est décédé,"19,3",%,
,78,,Conditions d’accueil des enfants,Nombre d’enfants de 0-17  ans  ne vivant pas avec un parent biologique,"8,6",%,
,77,20,Fréquentation scolaire comparative orphelins/non-orphelins,Proportion d’orphelins de père et de mère âgés de 10-14 ans scolarisés,"0,85",ratio,
