0,1,2,3,4,5,6,7
,,,women age 15-49 years,0,0,1.2,per cent
,,,men age 15-49 years,1.1,5.6,2.2,per cent
Sexual,9.1,,Young women who have,91.3,94.3,96.2,per cent
behaviour,,,never had sex,,,,
,,,Young men who have never,73.2,79.7,92.3,per cent
,,,had sex,,,,
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Kaimana,Manokwari,Sorong,,,,,
,9.11,,Sex before age 15 among,,,,
,,,young people:,,,,
,,,women age 15-24 years,3.6,6.6,2.8,per cent
,,,men age 15-24 years,3.7,4.6,1.1,per cent
,9.12,,Age-mixing among sexual,,,,
,,,partners:,,,,
,,,women age 15-24 years,6.3,15,26.4,per cent
,,,men age 15-24 years,5.5,1.5,0,per cent
,9.13,,Sex with multiple partners:,,,,
,,,women age 15-49 years,0.4,0.2,0.1,per cent
,,,men age 15-49 years,6.4,4.5,1.9,per cent
,9.14,,Condom use during sex with,,,,
,,,multiple partners,,,,
,,,men age 15-49 years,20.1,27.9,(*),per cent
,9.15,,Sex with non-regular partners:,,,,
,,,women age 15-24 years,3.6,4,4.2,per cent
,,,men age 15-24 years,58.9,38.3,48.9,per cent
Orphaned,9.17,,Children’s living,5.8,9.6,6.6,per cent
children,,,arrangements,,,,
,9.18,,Prevalence of children with,7.7,7.3,5.5,per cent
,,,one or both parents dead,,,,
Male circumcision,9.21,,Male circumcision,41.4,47.3,68.4,per cent
ACOHOL USE,,,,,,,
Alcohol use,TA. 3,,Alcohol use:,,,,
,,,women age 15-49 years,0.5,2.4,0.2,per cent
,,,men age 15-49 years,21.5,19.4,10.1,per cent
,TA. 4,,Use of alcohol: before age 15,,,,
,,,women age 15-49 years,0.5,1.9,0,per cent
,,,men age 15-49 years,5.9,9.4,3.8,per cent
